DBN,Borough,District,school_name,Grad_Rate,Rigorous_Instr,Collaborative,Supportive,Leadership,FamilyComm,Trust,Student_Resp,Parent_Resp
02M376,Manhattan,2,NYC iSchool,97.3,82,90,86,94,87,95,90,56
02M392,Manhattan,2,Manhattan Business Academy,92.9,86,97,84,95,85,93,73,14
02M393,Manhattan,2,Business Of Sports School,91.9,75,86,75,86,84,88,80,25
02M399,Manhattan,2,The High School For Language And Diplomacy,84.6,70,79,74,77,86,87,63,11
02M400,Manhattan,2,High School for Environmental Studies,88.7,73,80,72,85,84,86,68,16
02M407,Manhattan,2,Institute for Collaborative Education,95.5,85,93,76,88,91,91,70,37
02M408,Manhattan,2,Professional Performing Arts High School,100,74,75,68,75,85,82,40,21
02M411,Manhattan,2,Baruch College Campus High School,99.2,79,85,80,78,82,86,74,24
02M412,Manhattan,2,N.Y.C. Lab School for Collaborative Studies,99.3,79,88,79,84,90,92,71,31
02M413,Manhattan,2,School of the Future High School,98,77,77,69,79,86,79,66,25
02M414,Manhattan,2,N.Y.C. Museum School,100,74,79,78,83,82,88,80,28
02M416,Manhattan,2,Eleanor Roosevelt High School,99.3,80,81,80,82,86,90,84,58
02M418,Manhattan,2,Millennium High School,97.1,82,83,75,78,80,88,83,35
02M419,Manhattan,2,Landmark High School,79.1,72,75,72,77,92,85,54,11
02M420,Manhattan,2,High School for Health Professions and Human Services,94.8,74,80,70,76,77,84,94,21
02M422,Manhattan,2,Quest to Learn,84.7,70,75,68,78,84,81,62,37
02M425,Manhattan,2,Leadership and Public Service High School,84.2,79,73,82,76,86,83,66,11
02M427,Manhattan,2,Manhattan Academy For Arts & Language,80.8,80,95,78,93,85,89,66,51
02M432,Manhattan,2,Murray Hill Academy,83,86,95,81,85,82,87,69,11
02M437,Manhattan,2,Hudson High School of Learning Technologies,92.2,62,79,70,85,79,83,81,6
02M438,Manhattan,2,International High School at Union Square,81.5,78,88,85,90,84,92,86,52
02M439,Manhattan,2,Manhattan Village Academy,99.2,75,71,80,68,83,82,46,30
02M449,Manhattan,2,Vanguard High School,82.9,79,88,79,85,90,88,61,16
02M459,Manhattan,2,Manhattan International High School,67.5,87,92,85,92,88,92,83,53
02M475,Manhattan,2,Stuyvesant High School,99.2,82,78,79,76,82,87,87,53
02M489,Manhattan,2,High School of Economics and Finance,91,69,75,74,76,76,83,74,11
02M500,Manhattan,2,Unity Center for Urban Technologies,95.3,85,89,95,82,92,94,87,91
02M507,Manhattan,2,Urban Assembly Gateway School for Technology,91.8,78,73,80,70,92,85,94,47
02M519,Manhattan,2,Talent Unlimited High School,95.4,77,79,79,81,87,90,46,29
02M529,Manhattan,2,Jacqueline Kennedy Onassis High School,80.9,69,85,78,83,90,89,75,15
02M531,Manhattan,2,Repertory Company High School for Theatre Arts,100,70,84,73,81,90,88,50,25
02M533,Manhattan,2,Union Square Academy for Health Sciences,94.6,79,87,76,77,72,83,62,77
02M534,Manhattan,2,Harvest Collegiate High School,85.7,82,90,80,87,88,89,38,16
02M542,Manhattan,2,Manhattan Bridges High School,95.4,85,87,82,87,88,91,68,31
02M543,Manhattan,2,New Design High School,95.2,72,85,80,85,81,88,62,23
02M545,Manhattan,2,High School for Dual Language and Asian Studies,98.8,69,68,75,74,87,87,99,11
02M546,Manhattan,2,Academy for Software Engineering,92.9,67,84,73,83,78,87,70,25
02M551,Manhattan,2,Urban Assembly New York Harbor School,94.4,74,74,75,81,87,87,75,31
02M580,Manhattan,2,Richard R. Green High School of Teaching,87.5,82,89,80,88,88,92,72,28
02M600,Manhattan,2,The High School of Fashion Industries,89.5,77,86,76,81,84,89,81,18
02M605,Manhattan,2,Humanities Preparatory Academy,96.5,83,98,85,96,87,93,50,13
02M615,Manhattan,2,Chelsea Career and Technical Education High School,97.1,79,80,80,80,85,86,67,19
02M630,Manhattan,2,Art and Design High School,97.1,76,75,74,77,88,84,64,39
02M655,Manhattan,2,The High School for Climate Justice,89.6,77,94,76,93,85,90,82,21
03M291,Manhattan,3,West End Secondary School,100,79,75,73,68,90,80,63,45
03M299,Manhattan,3,The Maxine Greene HS for Imaginative Inquiry,85,71,82,73,84,92,83,48,7
03M307,Manhattan,3,"Urban Assembly School for Media Studies, The",90.7,73,82,76,81,92,88,79,21
03M402,Manhattan,3,The Urban Assembly School for Green Careers,91.4,59,54,70,48,74,73,89,87
03M403,Manhattan,3,The Global Learning Collaborative,85.3,70,84,75,87,79,90,60,50
03M415,Manhattan,3,Wadleigh Secondary School for the Performing & Visual Arts,100,74,84,69,84,84,81,74,18
03M417,Manhattan,3,Frank McCourt High School,95.7,79,88,76,84,85,87,92,50
03M479,Manhattan,3,Beacon High School,98,78,63,72,62,78,78,57,23
03M485,Manhattan,3,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,98.7,68,59,67,45,78,68,2,11
03M492,Manhattan,3,"High School for Law, Advocacy and Community Justice",86.5,71,66,59,60,85,71,42,8
03M494,Manhattan,3,High School of Arts and Technology,84.4,69,53,72,57,91,74,44,66
03M541,Manhattan,3,Manhattan / Hunter Science High School,98.2,77,74,81,81,82,86,80,42
03M610,Manhattan,3,Young Women's Leadership School,97.5,75,89,67,87,84,85,80,52
03M859,Manhattan,3,Special Music School,100,84,87,82,84,93,90,84,60
